old_path,new_path,impressions_90d,clicks_90d,impressions_prior_12m,clicks_prior_12m,reason
/city-of-everett/laminate-flooring-installation-in-everett-wa,/flooring-services-near-me/laminate-flooring-installation,1062,0,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-bellevue/laminate-flooring-installation-in-bellevue-wa,/flooring-services-near-me/laminate-flooring-installation,1051,0,164,0,city laminate page deleted (DECISION: confirm target)
/city-of-kirkland/laminate-flooring-installation-in-kirkland-wa,/flooring-services-near-me/laminate-flooring-installation,933,0,116,0,city laminate page deleted (DECISION: confirm target)
/city-of-monroe/laminate-flooring-installation-in-monroe-wa,/flooring-services-near-me/laminate-flooring-installation,910,0,0,0,city laminate page deleted (DECISION: confirm target)
/services/commercial-flooring-services-in-seattle-wa-by-oc-flooring,/flooring-services-near-me/commercial-flooring-installation,899,0,2118,3,folder /services renamed to /flooring-services-near-me
/services/stair-installation-and-remodeling,/flooring-services-near-me/stair-installation-and-remodeling,879,1,115,0,folder /services renamed to /flooring-services-near-me
/city-of-renton/laminate-flooring-installation-in-renton-wa,/flooring-services-near-me/laminate-flooring-installation,842,1,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-shoreline/laminate-flooring-installation-in-shoreline-wa,/flooring-services-near-me/laminate-flooring-installation,590,1,0,0,city laminate page deleted (DECISION: confirm target)
/services/eco-friendly-floor-refinishing,/flooring-services-near-me/eco-friendly-floor-refinishing,585,2,23,0,folder /services renamed to /flooring-services-near-me
/services/dustless-floor-sanding,/flooring-services-near-me/dustless-floor-sanding,570,2,2401,2,folder /services renamed to /flooring-services-near-me
/city-of-snohomish/laminate-flooring-installation-in-snohomish-wa,/flooring-services-near-me/laminate-flooring-installation,535,0,102,0,city laminate page deleted (DECISION: confirm target)
/city-of-new-castle/laminate-flooring-installation-in-newcastle-wa,/flooring-services-near-me/laminate-flooring-installation,505,1,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-marysville/laminate-flooring-installation-in-marysville-wa,/flooring-services-near-me/laminate-flooring-installation,456,0,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-north-bend/laminate-flooring-installation-in-north-bend-wa,/flooring-services-near-me/laminate-flooring-installation,451,0,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-edmonds/laminate-flooring-installation-in-edmonds-wa,/flooring-services-near-me/laminate-flooring-installation,444,0,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-arlington/laminate-flooring-installation-in-arlington-wa,/flooring-services-near-me/laminate-flooring-installation,382,0,0,0,folder /city-of-arlington renamed to /arlington
/services/hardwood-floor-maintenance,/flooring-services-near-me/hardwood-floor-maintenance,371,2,7359,2,folder /services renamed to /flooring-services-near-me
/services/commercial-flooring-installation,/flooring-services-near-me/commercial-flooring-installation,339,0,0,0,folder /services renamed to /flooring-services-near-me
/city-of-arlington/vinyl-plank-flooring-installation-in-arlington-wa,/arlington/vinyl-plank-flooring-installation,312,2,0,0,folder /city-of-arlington renamed to /arlington
/city-of-arlington/hardwood-floor-installation-in-arlington-wa,/arlington/hardwood-floor-installation,300,1,1595,5,folder /city-of-arlington renamed to /arlington
/city-of-lake-stevens/laminate-flooring-installation-in-lake-stevens-wa,/flooring-services-near-me/laminate-flooring-installation,291,0,40,0,city laminate page deleted (DECISION: confirm target)
/city-of-snoqualmie/laminate-flooring-installation-in-snoqualmie-wa,/flooring-services-near-me/laminate-flooring-installation,290,0,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-mukilteo/laminate-flooring-installation-in-mukilteo-wa,/flooring-services-near-me/laminate-flooring-installation,274,2,0,0,city laminate page deleted (DECISION: confirm target)
/services/flooring-material,/flooring-services-near-me/our-products,271,0,2624,1,folder /services renamed to /flooring-services-near-me
/city-of-arlington/hardwood-floor-refinishing-in-arlington-wa,/arlington/hardwood-floor-refinishing,270,0,0,0,folder /city-of-arlington renamed to /arlington
/city-of-oak-harbor/laminate-flooring-installation-in-oak-harbor-wa,/flooring-services-near-me/laminate-flooring-installation,265,0,0,0,city laminate page deleted (DECISION: confirm target)
/services/engineered-hardwood-flooring,/flooring-services-near-me/engineered-hardwood-flooring,238,0,1104,1,folder /services renamed to /flooring-services-near-me
/city-of-kenmore/laminate-flooring-installation-in-kenmore-wa,/flooring-services-near-me/laminate-flooring-installation,197,0,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-lynnwood/vinyl-floor-plank-installation-in-lynnwood-wa-waterproof-flooring,/city-of-lynnwood/vinyl-plank-flooring-installation-in-lynnwood-wa,196,0,4122,5,old slug replaced by clean slug
/city-of-mill-creek/laminate-flooring-installation-in-mill-creek-wa,/flooring-services-near-me/laminate-flooring-installation,195,1,29,0,city laminate page deleted (DECISION: confirm target)
/services/seattle-wa-wood-wall-paneling-acoustic-panels,/flooring-services-near-me/wood-wall-panels,187,2,14133,117,folder /services renamed to /flooring-services-near-me
/city-of-woodinville/laminate-flooring-installation-in-woodinville-wa,/flooring-services-near-me/laminate-flooring-installation,168,0,26,0,city laminate page deleted (DECISION: confirm target)
/services/unfinished-hardwood-floors,/flooring-services-near-me/unfinished-hardwood-floors,156,0,4047,9,folder /services renamed to /flooring-services-near-me
/city-of-redmond/laminate-floor-installation-in-redmond-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,155,0,11148,11,city laminate page deleted (DECISION: confirm target)
/city-of-lynnwood/laminate-floor-installation-in-lynnwood-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,147,0,9730,4,city laminate page deleted (DECISION: confirm target)
/city-of-renton/vinyl-plank-flooring-installation-in-renton-wa-lvp-floor,/city-of-renton/vinyl-plank-flooring-installation-in-renton-wa,136,0,10253,11,old slug replaced by clean slug
/city-of-issaquah/laminate-flooring-installation-in-issaquah-wa,/flooring-services-near-me/laminate-flooring-installation,129,0,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-monroe/laminate-floor-installation-in-monroe-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,108,0,12133,6,city laminate page deleted (DECISION: confirm target)
/services/flooring-store,/flooring-services-near-me/flooring-store,98,0,0,0,folder /services renamed to /flooring-services-near-me
/city-of-shoreline/vinyl-floor-plank-installation-in-shoreline-wa-waterproof-flooring,/city-of-shoreline/vinyl-plank-flooring-installation-in-shoreline-wa,82,0,1862,5,old slug replaced by clean slug
/city-of-whidbey-island/laminate-flooring-installation-in-whidbey-island-wa,/flooring-services-near-me/laminate-flooring-installation,73,0,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-renton/laminate-floor-installation-in-renton-wa-flooring,/flooring-services-near-me/laminate-flooring-installation,67,0,6385,4,city laminate page deleted (DECISION: confirm target)
/city-of-bellevue/flooring-installation-in-bellevue-wa,/city-of-bellevue/hardwood-floor-installation-in-bellevue-wa,65,0,3294,2,old slug replaced by clean slug
/city-of-mercer-island/laminate-floor-installation-mercer-island-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,63,0,9526,3,city laminate page deleted (DECISION: confirm target)
/city-of-duvall/laminate-flooring-installation-in-duvall-wa,/flooring-services-near-me/laminate-flooring-installation,62,0,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-monroe/hardwood-floor-installation-in-monroe-wa-solid-flooring,/city-of-monroe/hardwood-floor-installation-in-monroe-wa,55,0,3879,4,old slug replaced by clean slug
/city-of-shoreline/laminate-floor-installation-in-shoreline-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,48,0,6704,5,city laminate page deleted (DECISION: confirm target)
/city-of-sammamish/hardwood-floor-installation-in-sammamish-wa-solid-flooring,/city-of-sammamish/hardwood-floor-installation-in-sammamish-wa,47,0,1940,4,old slug replaced by clean slug
/city-of-arlington/tile-installation-in-arlington-wa,/arlington/tile-installation,46,0,0,0,folder /city-of-arlington renamed to /arlington
/city-of-mukilteo/laminate-floor-installation-in-mukilteo-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,44,0,1557,8,city laminate page deleted (DECISION: confirm target)
/city-of-oak-harbor/hardwood-flooring-services-oak-harbor-floor-installation,/city-of-oak-harbor/hardwood-floor-installation-in-oak-harbor-wa,43,2,1131,16,old slug replaced by clean slug
/city-of-snoqualmie/laminate-floor-installation-in-snoqualmie-wa-flooring,/flooring-services-near-me/laminate-flooring-installation,42,0,4892,2,city laminate page deleted (DECISION: confirm target)
/city-of-sammamish/vinyl-plank-flooring-installation-in-sammamish-wa-lvp-floor,/city-of-sammamish/vinyl-plank-flooring-installation-in-sammamish-wa,40,0,1325,3,old slug replaced by clean slug
/city-of-medina/laminate-flooring-installation-in-medina-wa,/flooring-services-near-me/laminate-flooring-installation,36,0,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-arlington/vinyl-plank-flooring-installation-in-arlington-wa-lvp-floor,/arlington/vinyl-plank-flooring-installation,34,0,2001,2,folder /city-of-arlington renamed to /arlington
/city-of-cottage-lake/laminate-flooring-installation-in-cottage-lake-wa,/flooring-services-near-me/laminate-flooring-installation,34,0,0,0,city laminate page deleted (DECISION: confirm target)
/city-of-issaquah/vinyl-plank-flooring-installation-in-issaquah-wa-lvp-floor,/city-of-issaquah/vinyl-plank-flooring-installation-in-issaquah-wa,32,0,3072,3,old slug replaced by clean slug
/city-of-everett/vinyl-floor-plank-installation-in-everett-wa-waterproof-flooring,/city-of-everett/vinyl-plank-flooring-installation-in-everett-wa,31,0,2820,2,old slug replaced by clean slug
/city-of-new-castle/vinyl-plank-flooring-installation-in-newcastle-wa-lvp-floor,/city-of-new-castle/vinyl-plank-flooring-installation-in-newcastle-wa,31,0,500,0,old slug replaced by clean slug
/city-of-north-bend/hardwood-floor-installation-in-north-bend-solid-flooring,/city-of-north-bend/hardwood-floor-installation-in-north-bend-wa,29,1,5122,6,old slug replaced by clean slug
/city-of-sammamish/laminate-floor-installation-in-sammamish-wa-flooring,/flooring-services-near-me/laminate-flooring-installation,26,0,5265,2,city laminate page deleted (DECISION: confirm target)
/city-of-issaquah/laminate-floor-installation-in-issaquah-wa-flooring,/flooring-services-near-me/laminate-flooring-installation,26,0,4549,2,city laminate page deleted (DECISION: confirm target)
/city-of-arlington/hardwood-flooring-services-in-arlington-wa-floor-installation,/arlington/hardwood-floor-installation,24,0,3231,3,folder /city-of-arlington renamed to /arlington
/city-of-lake-stevens/hardwood-floor-installation-in-lake-stevens-wa-solid-flooring,/city-of-lake-stevens/hardwood-floor-installation-in-lake-stevens-wa,24,0,2412,1,old slug replaced by clean slug
/services/stair-installation-in-lynnwood-wa,/flooring-services-near-me/stair-installation-and-remodeling,22,1,5808,7,folder /services renamed to /flooring-services-near-me
/city-of-new-castle/hardwood-flooring-services-new-castle-floor-installation,/city-of-new-castle/hardwood-floor-installation-in-newcastle-wa,21,0,1631,0,old slug replaced by clean slug
/hardwood-floor-refinishing/laminate-floor-installation-in-bothell-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,20,0,6362,2,city laminate page deleted (DECISION: confirm target)
/city-of-new-castle/laminate-floor-installation-in-newcastle-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,19,0,4333,2,city laminate page deleted (DECISION: confirm target)
/services/insurance-restoration-services,/flooring-services-near-me/insurance-restoration-services,19,0,224,0,folder /services renamed to /flooring-services-near-me
/city-of-everett/laminate-floor-installation-in-everett-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,18,0,15719,3,city laminate page deleted (DECISION: confirm target)
/services/solid-hardwood-flooring,/flooring-services-near-me/solid-hardwood-flooring,18,0,0,0,folder /services renamed to /flooring-services-near-me
/city-of-snoqualmie/hardwood-floor-installation-in-snoqualmie-wa-solid-flooring,/city-of-snoqualmie/hardwood-floor-installation-in-snoqualmie-wa,17,0,2157,2,old slug replaced by clean slug
/city-of-duvall/vinyl-plank-flooring-installation-in-duvall-wa-lvp-floor,/city-of-duvall/vinyl-plank-flooring-installation-in-duvall-wa,16,0,6213,4,old slug replaced by clean slug
/city-of-oak-harbor/laminate-floor-installation-in-oak-harbor-wa-flooring,/flooring-services-near-me/laminate-flooring-installation,16,0,1087,2,city laminate page deleted (DECISION: confirm target)
/city-of-lynnwood/hardwood-floor-refinishing-in-lynnwood-wa-flooring-floors,/city-of-lynnwood/hardwood-floor-refinishing-in-lynnwood-wa,15,0,6253,5,old slug replaced by clean slug
/city-of-new-castle/hardwood-floor-installation-in-newcastle-wa-solid-flooring,/city-of-new-castle/hardwood-floor-installation-in-newcastle-wa,15,0,1935,2,old slug replaced by clean slug
/city-of-north-bend/vinyl-plank-flooring-installation-in-north-bend-wa-lvp-floor,/city-of-north-bend/vinyl-plank-flooring-installation-in-north-bend-wa,15,0,1130,4,old slug replaced by clean slug
/city-of-sammamish/hardwood-flooring-services-in-sammamish-wa-floor-installation,/city-of-sammamish/hardwood-floor-installation-in-sammamish-wa,14,0,3495,14,old slug replaced by clean slug
/city-of-north-bend/hardwood-flooring-services-in-north-bend-wa-floor-installation,/city-of-north-bend/hardwood-floor-installation-in-north-bend-wa,14,0,2876,7,old slug replaced by clean slug
/city-of-shoreline/hardwood-floor-installation-services-shoreline-wa-flooring,/city-of-shoreline/hardwood-floor-installation-in-shoreline-wa,14,0,1800,1,old slug replaced by clean slug
/services/quality-flooring-solutions-for-northwest-homebuilders,/flooring-services-near-me/commercial-flooring-installation,14,0,898,2,folder /services renamed to /flooring-services-near-me
/city-of-issaquah/hardwood-flooring-services-in-issaquah-wa-floor-installation,/city-of-issaquah/hardwood-floor-installation-in-issaquah-wa,13,0,2976,13,old slug replaced by clean slug
/city-of-duvall/laminate-floor-installation-in-duvall-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,12,0,3625,2,city laminate page deleted (DECISION: confirm target)
/city-of-edmonds/hardwood-floor-installation-in-edmonds-wa-2,/city-of-edmonds/hardwood-floor-installation-in-edmonds-wa,11,0,2860,4,old slug replaced by clean slug
/city-of-whidbey-island/vinyl-plank-flooring-installation-whidbey-island-wa-lvp-floor,/city-of-whidbey-island/vinyl-plank-flooring-installation-in-whidbey-island-wa,11,0,292,2,old slug replaced by clean slug
/city-of-oak-harbor/vinyl-plank-flooring-installation-in-oak-harbor-wa-lvp-floor,/city-of-oak-harbor/vinyl-plank-flooring-installation-in-oak-harbor-wa,10,0,1224,1,old slug replaced by clean slug
/city-of-woodinville/vinyl-floor-installation-in-woodinville-wa-lvp-flooring,/city-of-woodinville/vinyl-plank-flooring-installation-in-woodinville-wa,9,0,1880,0,old slug replaced by clean slug
/city-of-monroe/hardwood-flooring-services-in-monroe-wa,/city-of-monroe/hardwood-floor-installation-in-monroe-wa,8,0,3966,7,old slug replaced by clean slug
/city-of-lake-stevens/vinyl-plank-flooring-installation-lake-stevens-wa-lvp-floor,/city-of-lake-stevens/vinyl-plank-flooring-installation-in-lake-stevens-wa,8,0,1297,6,old slug replaced by clean slug
/city-of-mercer-island/vinyl-plank-flooring-installation-in-mercer-island-wa-lvp-floor,/city-of-mercer-island/vinyl-plank-flooring-installation-in-mercer-island-wa,8,0,1037,1,old slug replaced by clean slug
/city-of-arlington/carpet-installation-in-arlington-wa,/arlington/carpet-installation,8,0,0,0,folder /city-of-arlington renamed to /arlington
/city-of-arlington/hardwood-floor-repair-in-arlington-wa,/arlington/hardwood-floor-repair,8,0,0,0,folder /city-of-arlington renamed to /arlington
/city-of-bellevue/laminate-floor-installation-in-bellevue-wa-laminate-flooring,/flooring-services-near-me/laminate-flooring-installation,7,0,6119,3,city laminate page deleted (DECISION: confirm target)
/city-of-edmonds/vinyl-plank-flooring-installation-in-lynnwood-wa-waterproof-floor,/city-of-edmonds/vinyl-plank-flooring-installation-in-edmonds-wa,7,1,2772,2,old slug replaced by clean slug
/city-of-kenmore/vinyl-plank-flooring-installation-in-kenmore-wa-lvp-floor,/city-of-kenmore/vinyl-plank-flooring-installation-in-kenmore-wa,6,0,1581,3,old slug replaced by clean slug
/city-of-monroe/vinyl-plank-flooring-installation-in-monroe-wa-lvp-floor,/city-of-monroe/vinyl-plank-flooring-installation-in-monroe-wa,5,0,2734,1,old slug replaced by clean slug
/city-of-medina/vinyl-plank-flooring-installation-in-medina-wa-lvp-floor,/city-of-medina/vinyl-plank-flooring-installation-in-medina-wa,5,0,1296,1,old slug replaced by clean slug
/city-of-kenmore/laminate-floor-installation-in-kenmore-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,4,0,2314,1,city laminate page deleted (DECISION: confirm target)
/city-of-arlington/laminate-floor-installation-in-arlington-wa-flooring,/flooring-services-near-me/laminate-flooring-installation,3,0,6110,3,folder /city-of-arlington renamed to /arlington
/city-of-medina/hardwood-floor-installation-in-medina-wa-solid-flooring,/city-of-medina/hardwood-floor-installation-in-medina-wa,3,0,2158,1,old slug replaced by clean slug
/city-of-snoqualmie/vinyl-plank-flooring-installation-in-snoqualmie-wa-lvp-floor,/city-of-snoqualmie/vinyl-plank-flooring-installation-in-snoqualmie-wa,3,0,1782,2,old slug replaced by clean slug
/city-of-medina/laminate-floor-installation-in-medina-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,3,0,688,1,city laminate page deleted (DECISION: confirm target)
/city-of-medina/hardwood-flooring-services-in-medina-wa-floor-installation,/city-of-medina/hardwood-floor-installation-in-medina-wa,3,0,520,0,old slug replaced by clean slug
/city-of-mill-creek/vinyl-floor-plank-installation-mill-creek-wa-waterproof-flooring,/city-of-mill-creek/vinyl-plank-flooring-installation-in-mill-creek-wa,3,0,278,0,old slug replaced by clean slug
/city-of-edmonds/laminate-floor-installation-in-edmonds-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,2,0,4562,0,city laminate page deleted (DECISION: confirm target)
/city-of-cottage-lake/laminate-floor-installation-in-cottage-lake-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,2,0,1070,0,city laminate page deleted (DECISION: confirm target)
/city-of-duvall/hardwood-floor-installation-in-duvall-wa-solid-flooring,/city-of-duvall/hardwood-floor-installation-in-duvall-wa,2,0,929,1,old slug replaced by clean slug
/city-of-cottage-lake/vinyl-plank-flooring-installation-in-cottage-lake-wa-lvp-floor,/city-of-cottage-lake/vinyl-plank-flooring-installation-in-cottage-lake-wa,2,0,314,0,old slug replaced by clean slug
/city-of-duvall/hardwood-flooring-services-in-duvall-wa-floor-installation,/city-of-duvall/hardwood-floor-installation-in-duvall-wa,1,0,2052,3,old slug replaced by clean slug
/city-of-marysville/laminate-floor-installation-marysville-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,1,0,1140,0,city laminate page deleted (DECISION: confirm target)
/city-of-cottage-lake/hardwood-floor-installation-in-cottage-lake-solid-flooring,/city-of-cottage-lake/hardwood-floor-installation-in-cottage-lake-wa,1,0,483,0,old slug replaced by clean slug
/seattle/vinyl-floor-plank-installation-west-seattle-wa-flooring,/seattle/vinyl-plank-flooring-installation-in-seattle-wa,0,0,22782,31,old slug replaced by clean slug
/city-of-kirkland/laminate-floor-installation-in-kirkland-wa-laminate-flooring,/flooring-services-near-me/laminate-flooring-installation,0,0,11746,5,city laminate page deleted (DECISION: confirm target)
/city-of-snohomish/laminate-floor-installation-in-snohomish-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,0,0,9846,3,city laminate page deleted (DECISION: confirm target)
/city-of-everett/hardwood-floor-refinishing-in-everett-wa-flooring-floors,/city-of-everett/hardwood-floor-refinishing-in-everett-wa,0,0,9820,8,old slug replaced by clean slug
/seattle/laminate-floor-installation-in-west-seattle-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,0,0,8812,3,city laminate page deleted (DECISION: confirm target)
/city-of-snohomish/hardwood-floor-refinishing-in-snohomish-wa-flooring-floors,/city-of-snohomish/hardwood-floor-refinishing-in-snohomish-wa,0,0,8337,26,old slug replaced by clean slug
/city-of-renton/hardwood-flooring-services-renton-floor-installation,/city-of-renton/hardwood-floor-installation-in-renton-wa,0,0,7985,17,old slug replaced by clean slug
/city-of-bellevue/hardwood-floor-refinishing-in-bellevue-wa,/,0,0,7703,0,Bellevue refinishing page missing; homepage is the Bellevue refinishing page
/city-of-redmond/hardwood-floor-services-in-redmond-wa,/city-of-redmond/hardwood-floor-installation-in-redmond-wa,0,0,7364,9,old slug replaced by clean slug
/hardwood-floor-refinishing/hardwood-flooring-services-in-bothell-wa,/hardwood-floor-refinishing/hardwood-floor-installation-in-bothell-wa,0,0,7175,2,old slug replaced by clean slug
/city-of-redmond/vinyl-plank-flooring-installation-in-redmond-wa-lvp-floor,/city-of-redmond/vinyl-plank-flooring-installation-in-redmond-wa,0,0,7078,4,old slug replaced by clean slug
/city-of-snohomish/hardwood-floor-installation-services-snohomish-wa-flooring,/city-of-snohomish/hardwood-floor-installation-in-snohomish-wa,0,0,5818,8,old slug replaced by clean slug
/city-of-snohomish/vinyl-floor-plank-installation-in-snohomish-wa-waterproof-flooring,/city-of-snohomish/vinyl-plank-flooring-installation-in-snohomish-wa,0,0,5672,6,old slug replaced by clean slug
/blog/how-much-does-carpet-installation-cost-in-bothell-wa-with-oc-flooring-company,/blog,0,0,5368,10,"post deleted, 0 impressions last 90d"
/city-of-mill-creek/laminate-floor-installation-in-mill-creek-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,0,0,5121,4,city laminate page deleted (DECISION: confirm target)
/city-of-marysville/hardwood-flooring-services-marysville-wa-floor-installation,/city-of-marysville/hardwood-floor-installation-in-marysville-wa,0,0,5114,10,old slug replaced by clean slug
/city-of-north-bend/laminate-floor-installation-in-north-bend-wa-flooring,/flooring-services-near-me/laminate-flooring-installation,0,0,4596,1,city laminate page deleted (DECISION: confirm target)
/city-of-lake-stevens/hardwood-flooring-services-lake-stevens-wa-floor-installation,/city-of-lake-stevens/hardwood-floor-installation-in-lake-stevens-wa,0,0,4593,7,old slug replaced by clean slug
/blog/engineered-hardwood-vs-luxury-vinyl-plank-which-is-better-in-lynnwood-wa,/blog,0,0,4116,0,"post deleted, 0 impressions last 90d"
/city-of-lake-stevens/laminate-floor-installation-in-lake-stevens-wa-waterproof-flooring,/flooring-services-near-me/laminate-flooring-installation,0,0,2747,1,city laminate page deleted (DECISION: confirm target)
/city-of-bellevue/https-www-nwocflooring-com-service-area-hardwood-flooring-services-in-bellevue-wa,/city-of-bellevue/hardwood-floor-installation-in-bellevue-wa,0,0,2496,7,old slug replaced by clean slug
/city-of-kirkland/vinyl-floor-installation-in-kirkland-wa,/city-of-kirkland/vinyl-plank-flooring-installation-in-kirkland-wa,0,0,2453,1,old slug replaced by clean slug
/hardwood-floor-refinishing/vinyl-floor-installation-bothell-wa-waterproof-flooring,/hardwood-floor-refinishing/vinyl-plank-flooring-installation-in-bothell-wa,0,0,2378,2,old slug replaced by clean slug
/city-of-woodinville/laminate-floor-installation-in-woodinville-wa-laminate-flooring,/flooring-services-near-me/laminate-flooring-installation,0,0,2247,0,city laminate page deleted (DECISION: confirm target)
/city-of-marysville/vinyl-plank-flooring-installation-in-marysville-wa-lvp-floor,/city-of-marysville/vinyl-plank-flooring-installation-in-marysville-wa,0,0,2098,1,old slug replaced by clean slug
/blog/prefinished-hardwood-vs-unfinished-hardwood-in-kirkland-wa-which-is-right-for-your-home,/blog,0,0,2093,0,"post deleted, 0 impressions last 90d"
/city-of-bellevue/vinyl-floor-installation-bellevue-wa-waterproof-flooring,/city-of-bellevue/vinyl-plank-flooring-installation-in-bellevue-wa,0,0,1648,1,old slug replaced by clean slug
/services/dustless-floor-sanding-copy,/flooring-services-near-me/dustless-floor-sanding,0,0,1540,9,folder /services renamed to /flooring-services-near-me
/services/eco-friendly-floor-refinishing-sustainable-health,/flooring-services-near-me/eco-friendly-floor-refinishing,0,0,1480,3,folder /services renamed to /flooring-services-near-me
/city-of-kenmore/hardwood-floor-installation-in-kenmore-wa-solid-flooring,/city-of-kenmore/hardwood-floor-installation-in-kenmore-wa,0,0,1437,2,old slug replaced by clean slug
/city-of-snoqualmie/hardwood-flooring-services-in-snoqualmie-wa-floor-installation,/city-of-snoqualmie/hardwood-floor-installation-in-snoqualmie-wa,0,0,1332,2,old slug replaced by clean slug
/city-of-mercer-island/hardwood-flooring-services-mercer-island-floor-installation,/city-of-mercer-island/hardwood-floor-installation-in-mercer-island-wa,0,0,1263,5,old slug replaced by clean slug
/city-of-whidbey-island/hardwood-flooring-services-whidbey-island-floor-installation,/city-of-whidbey-island/hardwood-floor-installation-in-whidbey-island-wa,0,0,902,12,old slug replaced by clean slug
/blog/your-go-to-flooring-carpet-installation-service-in-mill-creek-wa,/blog,0,0,814,1,"post deleted, 0 impressions last 90d"
/city-of-cottage-lake/hardwood-flooring-services-cottage-lake-wa-floor-installation,/city-of-cottage-lake/hardwood-floor-installation-in-cottage-lake-wa,0,0,792,1,old slug replaced by clean slug
/city-of-whidbey-island/laminate-floor-installation-in-whidbey-island-wa-flooring,/flooring-services-near-me/laminate-flooring-installation,0,0,627,2,city laminate page deleted (DECISION: confirm target)
/city-of-kenmore/hardwood-flooring-services-in-kenmore-wa-floor-installation,/city-of-kenmore/hardwood-floor-installation-in-kenmore-wa,0,0,596,1,old slug replaced by clean slug
/city-of-oak-harbor/hardwood-floor-installation-in-oak-harbor-wa-solid-flooring,/city-of-oak-harbor/hardwood-floor-installation-in-oak-harbor-wa,0,0,543,2,old slug replaced by clean slug
/city-of-bellevue/hardwood-flooring-services-in-bellevue-wa,/city-of-bellevue/hardwood-floor-installation-in-bellevue-wa,0,0,511,3,old slug replaced by clean slug
